,name_track,name_artist,genre,type,year,id,popularity
236,On the Low,Burna Boy,pop,track,2019,1zIk8RJEKGvoH4FioFnGyJ,69
237,False God,Taylor Swift,pop,track,2019,5hQSXkFgbxjZo9uCwd11so,74
238,En timme till,Veronica Maggio,pop,track,2019,2J46misMwPFMdxwa7iY1GK,52
239,VALENTINO,24kGoldn,pop,track,2019,6piAUJJQFD8oHDUr0b7l7q,69
240,I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber,pop,track,2019,0hVXuCcriWRGvwMV1r5Yn9,73
241,Piece Of Your Heart,MEDUZA,pop,track,2019,1DFD5Fotzgn6yYXkYsKiGs,71
242,Dove - Doll Ver,antihoney,pop,track,2019,2NHHKv9F4mYLSMfMl0jayB,71
243,Nasty Thug,Dizzy,pop,track,2019,0qHhl5F97tC5e5DhUV4siI,52
244,Juliet,Cavetown,pop,track,2019,45ROR8UMn60YEVQnDy0uVF,74
245,Afterwork,Bolaget,pop,track,2019,34k4kdNgdN7zdwJT8Kol0U,54
246,Zemër,Soolking,pop,track,2019,68av1mZz0VsIYXJWATZWUW,64
247,Cornelia Street,Taylor Swift,pop,track,2019,12M5uqx0ZuwkpLp5rJim1a,75
248,Baila Baila Baila,Ozuna,pop,track,2019,5PXsZaT8cOxb4mXrA20PMQ,73
249,Truth Hurts,Lizzo,pop,track,2019,3HWzoMvoF3TQfYg4UPszDq,74
250,All In,Emil Assergård,pop,track,2019,2teYRTKrdMYON0Qf7bbMRv,52
251,Soldi,Mahmood,pop,track,2019,4szQkW1CDHqbRZGltXJdd3,64
252,Don't Let Me Go,Cigarettes After Sex,pop,track,2019,0nEGX81PCOQyGsXmllrOjI,71
253,Call You Mine,The Chainsmokers,pop,track,2019,2oejEp50ZzPuQTQ6v54Evp,70
254,Boy With Luv (feat. Halsey),BTS,pop,track,2019,4a9tbd947vo9K8Vti9JwcI,78
255,Jubel,Klingande,pop,track,2019,6atPq2Ddqi9itmoZHb5Vsi,64
256,London Boy,Taylor Swift,pop,track,2019,1LLXZFeAHK9R4xUramtUKw,74
257,Piece Of Your Heart - Alok Remix,MEDUZA,pop,track,2019,6iW38RGqdDGOofmz2HeXLW,72
258,There Was This Girl,Riley Green,pop,track,2019,7grWGhX8SHNmyGOkMNVMCt,75
259,Orphans,Coldplay,pop,track,2019,03T4ttRCiLXST6MZjeMwmR,67
260,Ensammast i världen,Hov1,pop,track,2019,1eItY0Aesi3PVzxsV8S8Ze,51
261,In My Bed,Rotimi,pop,track,2019,6XM53PbvlzhuNtJZtpl7RP,71
262,Dumebi,Rema,pop,track,2019,0SjQBdIddPvKSWxr8vk6QX,69
263,Melody,Lost Frequencies,pop,track,2019,0CUxFIIT6vrDyBdGFC1ZbM,63
264,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,pop,track,2019,0KoiMHhqKLoL4xM54rcWYY,76
265,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,pop,track,2019,6MF4tRr5lU8qok8IKaFOBE,73
266,La Cintura,Alvaro Soler,pop,track,2019,6VUJQqyeQhAZHkQbSDqLtI,69
267,Andromeda,Weyes Blood,pop,track,2019,51EMSRpNm9Rg5rGViVCczv,70
268,Kiss It Off Me,Cigarettes After Sex,pop,track,2019,5Mx79iNnXkMynfRIiIbiGQ,70
269,Stars Will Fall,Duster,pop,track,2019,0PgT8DiJmpqTnf9SnFnHM0,70
270,Ghost,Confetti,pop,track,2019,30uCmqegKQnH5AbOE51gPD,70
271,Right Side of My Neck,Faye Webster,pop,track,2019,3cxZT78mZDyLsLPJKcTu3U,76
272,Homicide (feat. Eminem),Logic,pop,track,2019,7M2tXmeS15NAzEn7ABFeBg,70
273,All Day And Night,Jax Jones,pop,track,2019,5naYe7rLMZcLfO1DKg48MK,66
274,California,Lana Del Rey,pop,track,2019,7oTE1KmtU2ml9zBhv9Reao,68
